fecha,algo,iteraciones,pop_agresivos,pop_cooperativos,pop_neutrales,Aggressive,Cooperative,Neutral,pct_Aggressive,pct_Cooperative,pct_Neutral
2026-05-14 08:31:30,gemini_31_pro_prose_75_noise,10,4,4,4,4,3,3,40.0,30.0,30.0
2026-05-14 08:31:30,gemini_31_pro_refine_75_noise,10,4,4,4,3,6,1,30.0,60.0,10.0
2026-05-14 08:31:30,openai_gpt54mini_default_75_noise,10,4,4,4,2,2,6,20.0,20.0,60.0
2026-05-14 08:31:30,openai_gpt54mini_prose_75_noise,10,4,4,4,1,5,4,10.0,50.0,40.0
2026-05-14 08:31:30,openai_gpt54mini_refine_75_noise,10,4,4,4,1,4,5,10.0,40.0,50.0
2026-05-15 20:48:14,anthropic_sonnet46_default_75,500,4,4,4,10,243,247,2.0,48.6,49.4
2026-05-15 20:48:14,anthropic_sonnet46_default_75,500,8,2,2,60,236,204,12.0,47.2,40.8
2026-05-15 20:48:14,anthropic_sonnet46_prose_75,500,4,4,4,24,241,235,4.8,48.2,47.0
2026-05-15 20:48:14,anthropic_sonnet46_prose_75,500,8,2,2,158,190,152,31.6,38.0,30.4
2026-05-15 20:48:14,anthropic_sonnet46_refine_75,500,4,4,4,115,197,188,23.0,39.4,37.6
2026-05-15 20:48:14,anthropic_sonnet46_refine_75,500,8,2,2,293,109,98,58.6,21.8,19.6
2026-05-15 20:48:14,gemini_25_flash_default_75,500,4,4,4,12,246,242,2.4,49.2,48.4
2026-05-15 20:48:14,gemini_25_flash_default_75,500,8,2,2,119,190,191,23.8,38.0,38.2
2026-05-15 20:48:14,gemini_25_flash_prose_75,500,4,4,4,118,234,148,23.6,46.8,29.6
2026-05-15 20:48:14,gemini_25_flash_prose_75,500,8,2,2,323,96,81,64.6,19.2,16.2
2026-05-15 20:48:14,gemini_25_flash_refine_75,500,4,4,4,104,234,162,20.8,46.8,32.4
2026-05-15 20:48:14,gemini_25_flash_refine_75,500,8,2,2,279,110,111,55.8,22.0,22.2
2026-05-15 20:48:14,gemini_31_pro_default_75,500,4,4,4,69,208,223,13.8,41.6,44.6
2026-05-15 20:48:14,gemini_31_pro_default_75,500,8,2,2,181,159,160,36.2,31.8,32.0
2026-05-15 20:48:14,gemini_31_pro_prose_75,500,4,4,4,64,237,199,12.8,47.4,39.8
2026-05-15 20:48:14,gemini_31_pro_prose_75,500,8,2,2,184,155,161,36.8,31.0,32.2
2026-05-15 20:48:14,gemini_31_pro_refine_75,500,4,4,4,89,200,211,17.8,40.0,42.2
2026-05-15 20:48:14,gemini_31_pro_refine_75,500,8,2,2,258,118,124,51.6,23.6,24.8
2026-05-15 20:48:14,openai_gpt54mini_default_75,500,4,4,4,8,267,225,1.6,53.4,45.0
2026-05-15 20:48:14,openai_gpt54mini_default_75,500,8,2,2,109,189,202,21.8,37.8,40.4
2026-05-15 20:48:14,openai_gpt54mini_prose_75,500,4,4,4,61,224,215,12.2,44.8,43.0
2026-05-15 20:48:14,openai_gpt54mini_prose_75,500,8,2,2,229,139,132,45.8,27.8,26.4
2026-05-15 20:48:14,openai_gpt54mini_refine_75,500,4,4,4,19,349,132,3.8,69.8,26.4
2026-05-15 20:48:14,openai_gpt54mini_refine_75,500,8,2,2,139,229,132,27.8,45.8,26.4
